 time       v(/in)     v(/out)   
 5.230e-04  2.140e+00  3.987e+00 
 5.240e-04  2.124e+00  4.016e+00 
 5.250e-04  2.109e+00  4.045e+00 
 5.260e-04  2.093e+00  4.072e+00 
 5.270e-04  2.078e+00  4.099e+00 
 5.280e-04  2.062e+00  4.125e+00 
 5.290e-04  2.047e+00  4.150e+00 
 5.300e-04  2.032e+00  4.174e+00 
 5.310e-04  2.016e+00  4.198e+00 
 5.320e-04  2.001e+00  4.221e+00 
 5.330e-04  1.985e+00  4.243e+00 
 5.340e-04  1.970e+00  4.265e+00 
 5.350e-04  1.955e+00  4.286e+00 
 5.360e-04  1.939e+00  4.306e+00 
 5.370e-04  1.924e+00  4.326e+00 
 5.380e-04  1.909e+00  4.345e+00 
 5.390e-04  1.894e+00  4.364e+00 
 5.400e-04  1.878e+00  4.382e+00 
 5.410e-04  1.863e+00  4.400e+00 
 5.420e-04  1.848e+00  4.418e+00 
 5.430e-04  1.833e+00  4.435e+00 
 5.440e-04  1.818e+00  4.451e+00 
 5.450e-04  1.803e+00  4.467e+00 
 5.460e-04  1.787e+00  4.483e+00 
 5.470e-04  1.772e+00  4.498e+00 
 5.480e-04  1.757e+00  4.513e+00 
 5.490e-04  1.742e+00  4.527e+00 
 5.500e-04  1.727e+00  4.541e+00 
 5.510e-04  1.713e+00  4.555e+00 
 5.520e-04  1.698e+00  4.568e+00 
 5.530e-04  1.683e+00  4.582e+00 
 5.540e-04  1.668e+00  4.594e+00 
 5.550e-04  1.653e+00  4.607e+00 
 5.560e-04  1.638e+00  4.619e+00 
 5.570e-04  1.624e+00  4.631e+00 
 5.580e-04  1.609e+00  4.642e+00 
 5.590e-04  1.594e+00  4.653e+00 
 5.600e-04  1.580e+00  4.664e+00 
 5.610e-04  1.565e+00  4.675e+00 
 5.620e-04  1.551e+00  4.685e+00 
 5.630e-04  1.536e+00  4.695e+00 
 5.640e-04  1.522e+00  4.705e+00 
 5.650e-04  1.507e+00  4.715e+00 
 5.660e-04  1.493e+00  4.724e+00 
 5.670e-04  1.478e+00  4.733e+00 
 5.680e-04  1.464e+00  4.742e+00 
 5.690e-04  1.450e+00  4.751e+00 
 5.700e-04  1.436e+00  4.759e+00 
 5.710e-04  1.421e+00  4.768e+00 
 5.720e-04  1.407e+00  4.776e+00 
 5.730e-04  1.393e+00  4.783e+00 
 5.740e-04  1.379e+00  4.791e+00 
 5.750e-04  1.365e+00  4.798e+00 
 5.760e-04  1.351e+00  4.806e+00 
 5.770e-04  1.337e+00  4.813e+00 
 5.780e-04  1.323e+00  4.819e+00 
 5.790e-04  1.309e+00  4.826e+00 
 5.800e-04  1.296e+00  4.833e+00 
 5.810e-04  1.282e+00  4.839e+00 
 5.820e-04  1.268e+00  4.845e+00 
 5.830e-04  1.255e+00  4.851e+00 
 5.840e-04  1.241e+00  4.857e+00 
 5.850e-04  1.227e+00  4.862e+00 
 5.860e-04  1.214e+00  4.868e+00 
 5.870e-04  1.200e+00  4.873e+00 
 5.880e-04  1.187e+00  4.878e+00 
 5.890e-04  1.174e+00  4.883e+00 
 5.900e-04  1.160e+00  4.888e+00 
 5.910e-04  1.147e+00  4.893e+00 
 5.920e-04  1.134e+00  4.897e+00 
 5.930e-04  1.121e+00  4.902e+00 
 5.940e-04  1.108e+00  4.906e+00 
 5.950e-04  1.095e+00  4.910e+00 
 5.960e-04  1.082e+00  4.914e+00 
 5.970e-04  1.069e+00  4.918e+00 
 5.980e-04  1.056e+00  4.922e+00 
 5.990e-04  1.043e+00  4.926e+00 
 6.000e-04  1.031e+00  4.929e+00 
 6.010e-04  1.018e+00  4.933e+00 
 6.020e-04  1.005e+00  4.936e+00 
 6.030e-04  9.927e-01  4.939e+00 
 6.040e-04  9.802e-01  4.942e+00 
