 time     v(/out) 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 4.9e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.0e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.1e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.2e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.3e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.4e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.5e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.6e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.7e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
