 frequency v(/VIN)  v(/VIN)  v(VOUT)  v(VOUT) 
 6.6e+03  1.0e+00  6.0e-03  3.0e+01  8.5e+01 
 6.8e+03  1.0e+00  5.9e-03  2.7e+01  7.5e+01 
 6.9e+03  1.0e+00  5.7e-03  2.4e+01  6.7e+01 
 7.1e+03  1.0e+00  5.6e-03  2.2e+01  6.0e+01 
 7.2e+03  1.0e+00  5.5e-03  2.0e+01  5.4e+01 
 7.4e+03  1.0e+00  5.4e-03  1.8e+01  5.0e+01 
 7.6e+03  1.0e+00  5.2e-03  1.6e+01  4.6e+01 
 7.8e+03  1.0e+00  5.1e-03  1.5e+01  4.2e+01 
 7.9e+03  1.0e+00  5.0e-03  1.3e+01  3.9e+01 
 8.1e+03  1.0e+00  4.9e-03  1.2e+01  3.7e+01 
 8.3e+03  1.0e+00  4.8e-03  1.1e+01  3.4e+01 
 8.5e+03  1.0e+00  4.7e-03  1.0e+01  3.2e+01 
 8.7e+03  1.0e+00  4.6e-03  9.5e+00  3.0e+01 
 8.9e+03  1.0e+00  4.5e-03  8.8e+00  2.9e+01 
 9.1e+03  1.0e+00  4.4e-03  8.1e+00  2.7e+01 
 9.3e+03  1.0e+00  4.3e-03  7.5e+00  2.6e+01 
 9.5e+03  1.0e+00  4.2e-03  7.0e+00  2.4e+01 
 9.8e+03  1.0e+00  4.1e-03  6.5e+00  2.3e+01 
 1.0e+04  1.0e+00  4.0e-03  6.0e+00  2.2e+01 
 1.0e+04  1.0e+00  3.9e-03  5.6e+00  2.1e+01 
 1.0e+04  1.0e+00  3.8e-03  5.3e+00  2.0e+01 
 1.1e+04  1.0e+00  3.7e-03  4.9e+00  2.0e+01 
 1.1e+04  1.0e+00  3.6e-03  4.6e+00  1.9e+01 
 1.1e+04  1.0e+00  3.5e-03  4.3e+00  1.8e+01 
 1.1e+04  1.0e+00  3.5e-03  4.0e+00  1.7e+01 
 1.2e+04  1.0e+00  3.4e-03  3.8e+00  1.7e+01 
