 time       v(/in)     v(/out)   
 2.910e-04  4.835e+00  3.485e+00 
 2.920e-04  4.827e+00  3.492e+00 
 2.930e-04  4.819e+00  3.498e+00 
 2.940e-04  4.810e+00  3.504e+00 
 2.950e-04  4.801e+00  3.510e+00 
 2.960e-04  4.793e+00  3.516e+00 
 2.970e-04  4.784e+00  3.521e+00 
 2.980e-04  4.774e+00  3.527e+00 
 2.990e-04  4.765e+00  3.532e+00 
 3.000e-04  4.755e+00  3.538e+00 
 3.010e-04  4.745e+00  3.543e+00 
 3.020e-04  4.735e+00  3.548e+00 
 3.030e-04  4.725e+00  3.552e+00 
 3.040e-04  4.715e+00  3.557e+00 
 3.050e-04  4.704e+00  3.562e+00 
 3.060e-04  4.694e+00  3.566e+00 
 3.070e-04  4.683e+00  3.570e+00 
 3.080e-04  4.672e+00  3.574e+00 
 3.090e-04  4.660e+00  3.578e+00 
 3.100e-04  4.649e+00  3.582e+00 
 3.110e-04  4.637e+00  3.586e+00 
 3.120e-04  4.625e+00  3.589e+00 
 3.130e-04  4.613e+00  3.593e+00 
 3.140e-04  4.601e+00  3.596e+00 
 3.150e-04  4.589e+00  3.599e+00 
 3.160e-04  4.576e+00  3.602e+00 
 3.170e-04  4.563e+00  3.605e+00 
 3.180e-04  4.551e+00  3.607e+00 
 3.190e-04  4.537e+00  3.610e+00 
 3.200e-04  4.524e+00  3.612e+00 
 3.210e-04  4.511e+00  3.615e+00 
 3.220e-04  4.497e+00  3.617e+00 
 3.230e-04  4.483e+00  3.619e+00 
 3.240e-04  4.469e+00  3.620e+00 
 3.250e-04  4.455e+00  3.622e+00 
 3.260e-04  4.441e+00  3.624e+00 
 3.270e-04  4.426e+00  3.625e+00 
 3.280e-04  4.411e+00  3.626e+00 
 3.290e-04  4.397e+00  3.628e+00 
 3.300e-04  4.382e+00  3.629e+00 
 3.310e-04  4.366e+00  3.629e+00 
 3.320e-04  4.351e+00  3.630e+00 
 3.330e-04  4.335e+00  3.631e+00 
 3.340e-04  4.320e+00  3.631e+00 
 3.350e-04  4.304e+00  3.632e+00 
 3.360e-04  4.288e+00  3.632e+00 
 3.370e-04  4.271e+00  3.632e+00 
 3.380e-04  4.255e+00  3.632e+00 
 3.390e-04  4.238e+00  3.633e+00 
 3.400e-04  4.222e+00  3.633e+00 
 3.410e-04  4.205e+00  3.633e+00 
 3.420e-04  4.188e+00  3.633e+00 
 3.430e-04  4.170e+00  3.633e+00 
 3.440e-04  4.153e+00  3.633e+00 
 3.450e-04  4.135e+00  3.633e+00 
 3.460e-04  4.118e+00  3.632e+00 
 3.470e-04  4.100e+00  3.632e+00 
 3.480e-04  4.082e+00  3.632e+00 
 3.490e-04  4.063e+00  3.632e+00 
 3.500e-04  4.045e+00  3.632e+00 
 3.510e-04  4.027e+00  3.632e+00 
 3.520e-04  4.008e+00  3.632e+00 
 3.530e-04  3.989e+00  3.632e+00 
 3.540e-04  3.970e+00  3.632e+00 
 3.550e-04  3.951e+00  3.632e+00 
 3.560e-04  3.931e+00  3.632e+00 
 3.570e-04  3.912e+00  3.632e+00 
 3.580e-04  3.892e+00  3.632e+00 
 3.590e-04  3.872e+00  3.632e+00 
 3.600e-04  3.853e+00  3.632e+00 
 3.610e-04  3.832e+00  3.632e+00 
 3.620e-04  3.812e+00  3.632e+00 
 3.630e-04  3.792e+00  3.632e+00 
 3.640e-04  3.771e+00  3.632e+00 
 3.650e-04  3.751e+00  3.632e+00 
 3.660e-04  3.730e+00  3.632e+00 
 3.670e-04  3.709e+00  3.632e+00 
 3.680e-04  3.688e+00  3.632e+00 
 3.690e-04  3.666e+00  3.632e+00 
 3.700e-04  3.645e+00  3.632e+00 
 3.710e-04  3.623e+00  3.632e+00 
 3.720e-04  3.602e+00  3.632e+00 
 3.730e-04  3.580e+00  3.632e+00 
 3.740e-04  3.558e+00  3.631e+00 
 3.750e-04  3.536e+00  3.631e+00 
 3.760e-04  3.513e+00  3.631e+00 
 3.770e-04  3.491e+00  3.631e+00 
 3.780e-04  3.468e+00  3.631e+00 
 3.790e-04  3.446e+00  3.631e+00 
 3.800e-04  3.423e+00  3.631e+00 
 3.810e-04  3.400e+00  3.631e+00 
 3.820e-04  3.377e+00  3.631e+00 
 3.830e-04  3.353e+00  3.631e+00 
 3.840e-04  3.330e+00  3.631e+00 
 3.850e-04  3.307e+00  3.631e+00 
 3.860e-04  3.283e+00  3.631e+00 
 3.870e-04  3.259e+00  3.631e+00 
 3.880e-04  3.235e+00  3.631e+00 
 3.890e-04  3.211e+00  3.631e+00 
