 time       v(/signal_in) v(/rect_out)
 3.220e-04 -1.349e+00 -3.420e-09 
 3.230e-04 -1.345e+00 -3.433e-09 
 3.240e-04 -1.341e+00 -3.446e-09 
 3.250e-04 -1.337e+00 -3.459e-09 
 3.260e-04 -1.332e+00 -3.473e-09 
 3.270e-04 -1.328e+00 -3.486e-09 
 3.280e-04 -1.323e+00 -3.499e-09 
 3.290e-04 -1.319e+00 -3.512e-09 
 3.300e-04 -1.314e+00 -3.525e-09 
 3.310e-04 -1.310e+00 -3.537e-09 
 3.320e-04 -1.305e+00 -3.550e-09 
 3.330e-04 -1.301e+00 -3.563e-09 
 3.340e-04 -1.296e+00 -3.576e-09 
 3.350e-04 -1.291e+00 -3.588e-09 
 3.360e-04 -1.286e+00 -3.601e-09 
 3.370e-04 -1.281e+00 -3.614e-09 
 3.380e-04 -1.276e+00 -3.626e-09 
 3.390e-04 -1.272e+00 -3.639e-09 
 3.400e-04 -1.266e+00 -3.651e-09 
 3.410e-04 -1.261e+00 -3.663e-09 
 3.420e-04 -1.256e+00 -3.676e-09 
 3.430e-04 -1.251e+00 -3.688e-09 
 3.440e-04 -1.246e+00 -3.700e-09 
 3.450e-04 -1.241e+00 -3.712e-09 
 3.460e-04 -1.235e+00 -3.724e-09 
 3.470e-04 -1.230e+00 -3.737e-09 
 3.480e-04 -1.225e+00 -3.749e-09 
 3.490e-04 -1.219e+00 -3.760e-09 
 3.500e-04 -1.214e+00 -3.772e-09 
 3.510e-04 -1.208e+00 -3.784e-09 
 3.520e-04 -1.202e+00 -3.796e-09 
 3.530e-04 -1.197e+00 -3.808e-09 
 3.540e-04 -1.191e+00 -3.819e-09 
 3.550e-04 -1.185e+00 -3.831e-09 
 3.560e-04 -1.179e+00 -3.842e-09 
 3.570e-04 -1.174e+00 -3.854e-09 
 3.580e-04 -1.168e+00 -3.865e-09 
 3.590e-04 -1.162e+00 -3.877e-09 
 3.600e-04 -1.156e+00 -3.888e-09 
